iata_code,name,latitude,longitude,country,city
,Manquin Flight Park Ultralightport,37.71440125,-77.21179962,US,Manquin
,Lightning Bolt Field Airport,44.40110016,-72.26360321,US,Cabot
,Field of Dreams Airport,46.02280045,-92.895401,US,Hinckley
,Ox Meadows Airport,47.58179855,-117.4369965,US,Spokane
,Dutch Gap Airstrip,42.52339935,-88.01670074,US,Bristol
,Stillwater Creek Airport,46.963889,-119.641667,US,Royal City
,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,39.65361111,-79.95611111,US,Morgantown
,Pecan Field,33.283933,-98.402861,US,Jermyn
,Schmidts Heliport,32.5821,-97.142502,US,Mansfield
,Wasilla Creek Airpark,61.66830063,-149.1880035,US,Palmer
,Allen Stagefield Army Heliport,31.23119926,-85.64969635,US,Fort Rucker/Wicksburg
,Ozark Skies Airpark,36.000633,-93.57025,US,Kingston
,Yuma Regional Medical Center Heliport,32.683452,-114.634346,US,Yuma
,Van Buren Seaplane Base,47.158901,-67.931999,US,Van Buren
,Lost Hills Sheriff's Station Heliport,34.13779831,-118.7139969,US,Calabasas
,Pope Valley Airport,38.6106987,-122.3909988,US,Pope Valley
,Rancho De Aereo Airport,40.2149839,-104.9844228,US,Mead
,O And G Heliport,41.77370071,-73.11620331,US,Torrington
,Melanie's Airport,30.91889954,-86.21829987,US,Florala
,Aventura Heliport,25.96089935,-80.1391983,US,North Miami Beach
,Charlton Strip,26.5230999,-81.40830231,US,La Belle
,Raju Airport,32.07139969,-84.71440125,US,Richland
,Spotts Field,43.13750076,-93.06829834,US,Nora Springs
,Running Creek Ranch Airport,45.914101,-114.835999,US,Grangeville
,Reichhart Airport,41.02870178,-84.99720001,US,New Haven
,Classic Landings Airport,41.15670013,-88.01670074,US,Bonfield
,Cooper Airport,39.64199829,-86.5042038,US,Belleville
,Hardy Airport,39.72589874,-89.26399994,US,Mount Auburn
,Darbro Field,37.26620102,-95.959198,US,Elk City
,Cartersville Airport,37.53689957,-84.40720367,US,Berea
,Greg's Flying Service Airport,32.26530075,-91.69779968,US,Baskin
,Midwest Heliport,41.74890137,-87.93509674,US,Willowbrook
,Grass Roots Airport,31.25219917,-92.47579956,US,Alexandria
,Pauls Valley General Hospital Heliport,34.71979,-97.214237,US,Pauls Valley
,Bentley Heliport,42.69120026,-70.91230011,US,Ipswich
,Breezecroft Airport,39.25009918,-76.2052002,US,Chestertown
,Drisko Airport,44.6570015,-67.55919647,US,Jonesboro
,Northern Pines Medical Center Heliport,47.5175001,-92.2302778,US,Aurora
,Portageville Community Heliport,36.42979813,-89.68009949,US,Portageville
,Va Medical Center Jackson Heliport,32.31890106,-90.16809845,US,Jackson
,Jones Landing,45.815368,-111.152163,US,Belgrade
,Brunswick Community Hospital Heliport,34.008099,-78.2911,US,Supply
,Mc Kay Airport,41.72219849,-98.30899811,US,Spalding
,Stumpfield Heliport,42.9239006,-70.95140076,US,Kensington
,Paulus Hook Pier Heliport,40.7140007,-74.03150177,US,Jersey City
,Baker Ranches Airport,39.0311,-114.088219,US,Baker
,Oswego County At Pulaski Heliport,43.55199814,-76.09020233,US,Pulaski
,Dorlon Airpark,41.28839874,-81.96260071,US,Columbia Station
,Hawk Haven Airport,35.8534,-97.567497,US,Crescent
,Peacock Ranch Airport,45.44150162,-117.3509979,US,Enterprise
,PECO Mob. Heliport,39.9548,-75.178201,US,Philadelphia
,State Police Area Iii Heliport,40.30009842,-76.85800171,US,Harrisburg
,Mills Brothers Airport,40.14279938,-77.86190033,US,Burnt Cabins
,Vernonia Airfield,45.85150146,-123.2419968,US,Vernonia
,Brandes Air Field,29.8090992,-96.26509857,US,Sealy
,Hilde-Griff Field,30.7220993,-97.79139709,US,Georgetown
,Thurmond Glenn Field,35.556998,-89.552903,US,Covington
,Dew Drop Airport,33.12929916,-97.3585968,US,Justin
,Circle 'A' Ranch Airport,32.12919998,-97.40419769,US,Blum
,Oljato Airport,37.03329849,-110.3170013,US,Oljato
,Blanca Airport,37.41109848,-105.552002,US,Blanca
,Providence Airport,37.2242012,-78.41860199,US,Farmville
,Port of Highgate Springs Heliport,45.01330185,-73.08670044,US,Highgate Springs
,Sacred Heart Medical Center Helistop,47.64820099,-117.4140015,US,Spokane
,Ames Private Airport,42.65110016,-88.74590302,US,Darien
,Flat Creek Field,48.702222,-118.0475,US,Kettle Falls
,Johnson Memorial Airport,33.07929993,-91.54319763,US,Wilmot
,Henning Municipal Airport,46.30379868,-95.4394989,US,Henning
,June Lake Airpark,61.627619,-149.575331,US,Wasilla
,Brown Stagefield Army Heliport,31.38839912,-85.97239685,US,Fort Rucker/New Brockton
,Bondair Airport,35.54449844,-92.18489838,US,Higden
,Mercy Gilbert Medical Center Heliport,33.287759,-111.751454,US,Gilbert
,Lucky Landing Marina and Seaplane Base,44.9070015,-68.80500031,US,Bangor
,Sce Solar I Heliport,34.87080002,-116.8339996,US,Yermo
,Abc7-Tv Heliport,35.15719986,-118.2890015,US,Glendale
,Jecan Airport,37.38750076,-103.6910019,US,Branson
,William P Gwinn Airport,26.90839958,-80.3289032,US,Jupiter
,Grass Roots Airpark,28.64170074,-81.88500214,US,Mascotte
,Morton Plant Hospital Heliport,27.95339966,-82.8042984,US,Clearwater
,Smith Heliport,33.7533989,-84.16210175,US,Redan
,Patoka Reservoir Landing Area Seaplane Base,38.4333992,-86.69110107,US,French Lick
,Rich Field,41.84140015,-91.83429718,US,Walford
,Larkin Airport,43.46269989,-116.3590012,US,Kuna
,Humm Airport,41.59949875,-88.86990356,US,Earlville
,Ellis Fly-In Airport,39.282799,-87.303596,US,Blackhawk
,Sinele Strip,40.54639816,-91.27429962,US,Nauvoo
,Riverside Hospital Airlift Heliport,37.69580078,-97.37249756,US,Wichita
,Falcon Heliport,37.525902,-83.344901,US,Jackson
,Panther Helicopters Inc Heliport,29.84600067,-90.02780151,US,Belle Chasse
,Hammersmith Heliport,41.8736,-88.496901,US,Elburn
,Tembec Heliport,30.70789909,-91.32019806,US,St Francisville
,The Barn Heliport,42.69060135,-71.60900116,US,Pepperell
,Bayview Heliport,39.29140091,-76.5463028,US,Baltimore
,Barker Heliport,44.415247,-70.844275,US,Bethel
,W A Foote Memorial Hospital Heliport,42.25109863,-84.3914032,US,Jackson
,Pike Field Airport,47.65190125,-92.41670227,US,Virginia
,Noahs Ark Airport,39.23059845,-94.80439758,US,Waldron
,Torgerson Airport,48.55830002,-112.1090012,US,Ethridge
,Randall Airport,41.43199921,-74.39160156,US,Middletown
,Tailwinds Airport,34.82749939,-78.93029785,US,St. Pauls
,Fitterer's Strip,46.74890137,-101.6689987,US,Glen Ullin
,St Marys Hospital Heliport,40.68000031,-95.86170197,US,Nebraska City
,Cole Farm Airport,42.92839813,-70.97309875,US,Kensington
,Chemical Bank - New Jersey Na Heliport,39.950102,-74.999603,US,Moorestown
,Silver Creek Airport,39.098333,-114.150277,US,Baker
,Murphy Field,42.84280014,-76.44529724,US,Auburn
,Saint Elizabeth Medical Center Heliport,41.1147995,-80.65699768,US,Youngstown
,Hal Joy Airfield,41.50979996,-80.59120178,US,Williamsfield
,Green Acres Airport,39.73479843,-84.38220215,US,New Lebanon
,Albert Lodge Heliport,36.54169846,-94.83360291,US,Grove
,Hayden Mountain Airport,45.46509933,-123.0800018,US,Forest Grove
,Freefall Oz Airport,41.995792,-78.288152,US,Ceres
,Schiavoni Heliport,40.382733,-76.772533,US,Harrisburg
,Cherokee Island Castle Heliport,40.40230179,-79.9213028,US,West Homestead
,Grawunder Field,29.94190025,-96.24610138,US,Bellville
,Beyer Farm Airport,37.58390045,-97.25309753,US,Derby
,Glaser Field,30.90850067,-97.11689758,US,Buckholts
,Ainsworth Airport,30.31270027,-95.02690125,US,Cleveland
,Hunter STOLport,35.69729996,-86.95690155,US,Columbia
,Roscoe Mc Connico Airport,32.120701,-96.179101,US,Kerens
,Diamond N Ranch Airport,30.05760002,-95.81289673,US,Hockley
